id,pid,accountno,balance
165,111,63082,-704
166,115,83427,-404
167,830,44551,-394
168,903,36401,283
169,33,11812,-629
170,410,21947,-991
171,905,27896,-939
172,965,77100,736
173,239,79388,-595
174,406,10722,-298
175,355,58842,-486
176,459,88091,854
177,474,32466,630
178,254,32534,836
179,865,36859,-982
180,55,50661,-73
181,559,42228,-427
182,806,85455,931
183,420,18521,-353
184,953,24999,748
185,221,52499,795
186,748,39119,58
187,80,32462,252
188,190,12151,694
189,37,81978,-299
190,175,38479,-955
191,317,62265,-245
192,762,69391,106
193,507,35216,45
194,33,83592,-560
195,359,45047,-72
196,847,85143,966
197,230,78590,555
198,846,66997,-764
199,966,42009,-185
200,644,67328,-884
201,155,40206,635
202,192,49111,892
203,331,48493,-6
204,433,29559,132
205,289,82164,841
206,449,44773,248
207,997,83257,898
208,529,73012,871
209,801,23752,-752
210,96,61302,-649
211,818,56379,-53
212,743,38330,847
213,807,39340,-139
214,281,68712,-109
215,338,49875,-505
216,85,22113,741
217,708,79202,9
218,273,84934,684
219,777,36184,-715
220,693,52909,1
221,935,63649,815
222,434,50888,-852
223,835,38950,758
224,509,73916,-425
225,705,30550,-526
226,121,21155,345
227,471,73367,-487
228,262,42375,-228
229,451,78005,-234
230,458,59574,-785
231,45,23766,516
232,211,20848,-352
233,762,63052,-614
234,829,82116,-257
235,910,61440,128
236,71,25898,-120
237,510,17843,-371
238,715,26805,606
239,319,61898,742
240,326,73973,780
241,238,53225,830
242,556,69669,120
243,883,85740,-849
244,2,48320,23
245,214,87235,201
246,401,12944,315
247,134,81112,-10
248,604,20615,620
249,549,22963,-777
250,737,12391,-886
251,944,24048,-662
252,994,80780,-634
253,672,57257,-891
254,503,28001,-859
255,938,60987,-649
256,358,76125,475
257,728,45675,-252
258,529,28635,946
259,741,86868,-294
260,964,77196,-134
261,42,36950,-354
262,941,83196,-995
263,935,65366,108
264,116,76025,557
265,888,69430,697
266,428,61632,-985
267,67,30758,352
268,761,37664,121
269,913,63562,-575
270,105,88295,-190
271,520,13948,744
272,513,77372,379
273,10,12210,631
274,143,44936,140
275,615,52091,527
276,246,19188,-96
277,472,35919,858
278,474,42405,-219
279,629,77556,92
280,783,19695,-325
281,433,27706,408
282,225,50364,-136
283,138,65740,-750
284,822,29638,-907
285,226,78785,-729
286,321,31786,-200
287,333,19522,411
288,155,73115,571
289,931,83459,-362
290,18,35789,532
291,79,40213,156
292,499,45669,802
293,430,53174,693
294,133,66510,531
295,247,34449,282
296,723,34632,-652
297,293,59545,-120
298,89,59333,-16
299,598,36780,-804
300,190,14536,-252
301,416,53528,-357
302,435,61709,645
303,183,16644,641
304,590,83453,160
305,920,51197,-275
306,261,87346,692
307,909,29735,282
308,719,44600,385
309,13,80730,233
310,634,18134,-224
311,298,36904,497
312,143,84391,-225
313,919,56116,-335
314,35,11308,22
315,742,81728,-967
316,150,13796,-932
317,116,33219,153
318,787,34900,483
319,62,48843,-531
320,119,64712,-98
321,80,45778,-606
322,15,10157,669
323,687,50404,587
324,382,34552,596
325,41,47953,-1
326,840,22488,-888
327,419,88984,-162
328,544,16435,-470
329,927,65780,-792
330,110,47064,-684
331,997,22561,63
332,672,51072,-306
333,575,61011,-274
334,527,14074,306
335,354,17417,787
336,179,16553,-621
337,796,40752,-728
338,536,75876,647
339,564,24367,-901
340,44,14563,935
341,848,65680,770
342,193,22704,950
343,809,71136,355
344,218,87012,-420
345,371,47270,136
346,353,33576,-812
347,102,29998,-223
348,286,78150,100
349,191,64164,38
350,996,23889,780
351,647,57455,350
352,262,46591,-647
353,147,65910,-647
354,97,41930,243
355,123,58957,-353
356,748,73259,-769
357,895,30366,-740
358,876,13735,-350
359,367,50735,-527
360,492,65302,328
361,248,82265,714
362,40,76830,481
363,793,61651,851
364,798,69687,418
365,545,51796,-96
366,875,21595,993
367,476,88386,-471
368,267,73439,-672
369,534,11784,126
370,136,65264,85
371,195,28724,-141
372,795,38276,-887
373,449,15577,-369
374,941,28309,-724
375,596,35648,877
376,248,80872,455
377,659,72643,-413
378,545,87378,-339
379,73,87541,470
380,793,45567,-831
381,490,74868,-260
382,64,37437,-187
383,405,74005,-928
384,579,12675,-426
385,330,46627,827
386,56,34016,130
387,619,12697,-227
388,492,68875,-432
389,29,24032,256
390,274,45282,-102
391,600,55548,6
392,372,69105,-231
393,468,48715,-134
394,791,59332,-840
395,868,62664,-953
396,164,79863,827
397,481,45232,932
398,604,42255,17
399,163,37663,-573
400,883,45246,991
401,270,24916,-867
402,325,81627,-278
403,234,60088,412
404,425,72336,-466
405,791,17837,931
406,924,49264,507
407,306,71914,373
408,713,26379,286
409,393,76877,-500
410,832,32990,143
411,931,69174,865
412,499,10443,685
413,301,80681,-393
414,869,74249,800
415,24,63129,-874
416,629,25670,886
417,668,41742,201
418,308,17818,-85
419,593,71415,-637
420,401,29641,-337
421,771,82924,-332
422,816,71886,827
423,624,71800,976
424,351,52508,-364
425,407,87188,-637
426,556,61364,-562
427,167,64582,14
428,737,71587,-25
429,430,56925,-298
430,397,18061,-216
431,580,55248,-542
432,612,76374,-689
433,489,65452,-403
434,406,51739,408
435,623,12041,922
436,921,29639,-266
437,165,35477,85
438,461,71901,769
439,558,62392,0
440,387,37894,248
441,202,33943,-763
442,364,44037,-937
443,546,70748,136
444,515,87818,431
445,469,61389,572
446,955,67251,941
447,733,20721,132
448,913,27450,327
449,8,81448,435
450,707,74764,464
451,927,17249,-140
452,245,59643,-270
453,812,40415,-641
454,201,49139,798
455,659,47713,599
456,272,88592,465
457,735,51170,-627
458,426,85281,566
459,839,80109,-703
460,507,74558,-322
461,191,68116,-865
462,443,22014,-47
463,418,40985,-632
464,145,25299,813
465,669,60924,42
466,413,78098,63
467,297,11626,-584
468,846,18056,331
469,816,27662,-226
470,166,74286,-870
471,52,51169,-426
472,674,25268,-897
473,286,82674,-161
474,549,44139,104
475,312,18338,575
476,686,25218,-215
477,169,63190,661
478,882,22061,-658
479,952,63907,-235
480,325,47565,860
481,148,73018,83
482,359,10136,633
483,498,14073,771
484,75,85466,954
485,956,47453,-629
486,267,52927,-169
487,561,41427,875
488,281,72540,623
489,515,56989,976
490,351,44709,707
491,412,16970,342
492,446,50825,-84
493,225,52633,851
494,346,49694,-432
495,222,12111,-401
496,494,70151,549
497,290,67852,380
498,246,15034,741
499,144,37783,-291
500,510,82098,-7
501,323,88336,-993
502,432,55342,-518
503,270,33793,242
504,536,70545,-763
505,582,20309,361
506,11,42256,-641
507,198,47016,749
508,487,59310,939
509,846,68539,136
510,400,89516,-207
511,163,58883,-25
512,888,82028,-101
513,360,49791,612
514,490,84832,-702
515,539,85766,-955
516,346,16130,-707
517,97,60487,-65
518,70,11799,210
519,444,38074,-536
520,915,54118,950
521,509,80034,17
522,284,50909,-195
523,696,29593,-787
524,623,37271,805
525,896,40336,540
526,567,22601,706
527,997,32476,656
528,274,47658,998
529,885,79867,960
530,987,73690,-369
531,252,42276,-258
532,250,80775,-196
533,33,33910,56
534,892,10012,131
535,66,84274,14
536,881,17190,-780
537,414,44347,10
538,104,51193,79
539,327,21463,-970
540,396,49569,-485
541,861,66805,31
542,515,67062,-62
543,581,78523,78
544,44,37890,-472
545,417,83843,-976
546,792,63863,504
547,435,64479,-20
548,590,82854,-719
549,332,33043,656
550,481,72954,118
551,636,54031,804
552,335,87036,404
553,618,60438,-493
554,707,21067,820
555,342,19604,729
556,420,80139,-374
557,331,39269,-75
558,38,80898,-896
559,11,33189,785
560,821,73502,-607
561,22,14659,-647
562,165,17670,47
563,569,61136,862
564,712,82055,-177
565,771,76481,306
566,570,10521,-541
567,584,27141,563
568,205,70857,-398
569,757,61011,-528
570,590,48118,242
571,301,72282,454
572,464,55605,684
573,330,60185,-778
574,180,82848,648
575,26,86474,177
576,339,46547,612
577,812,88059,-142
578,591,60747,180
579,654,52225,-892
580,390,21874,-125
581,579,17712,812
582,106,37812,-835
583,288,50609,-743
584,163,25670,-489
585,271,24150,507
586,16,68747,-489
587,607,34804,-550
588,742,65355,-663
589,326,35567,70
590,211,84380,145
591,437,20157,-976
592,129,79691,-175
593,132,75301,-959
594,24,39542,-440
595,809,41858,505
596,740,27681,715
597,201,75298,-348
598,946,45960,-26
599,331,24565,322
600,811,67396,698
601,693,58598,-899
602,400,30624,151
603,574,71223,35
604,401,81943,-442
605,80,27525,-260
606,418,25902,722
607,399,50844,822
608,380,23179,460
609,70,63782,-83
610,904,59813,220
611,87,82113,-79
612,609,75293,-919
613,33,74804,664
614,489,62452,-209
615,455,40591,684
616,238,21444,-524
617,318,52096,634
618,767,85530,334
619,507,54757,361
620,41,35657,-141
621,3,15524,-69
622,120,39729,-509
623,766,83266,349
624,954,20291,837
625,509,51910,-44
626,331,60292,-660
627,155,35162,842
628,833,35855,-460
629,249,82021,-607
630,778,76901,900
631,533,74142,-737
632,322,12267,245
633,325,22234,291
634,229,76101,-385
635,391,15918,-391
636,139,77400,214
637,563,48921,626
638,91,73099,684
639,20,28568,-988
640,142,54604,-203
641,587,81676,-259
642,432,47036,-843
643,930,71785,-366
644,330,48263,184
645,175,25634,-397
646,973,68596,217
647,759,76107,-389
648,915,48920,793
649,407,48755,-232
650,788,42251,-101
651,324,18063,-165
652,855,75840,681
653,818,52367,-365
654,723,37420,283
655,415,61364,-6
656,244,13339,-317
657,555,80178,38
658,63,18850,-451
659,522,34827,557
660,387,44900,823
661,806,54870,495
662,828,52272,578
663,145,40739,354
664,575,51419,624
665,163,54909,793
666,547,62839,833
667,623,62761,374
668,458,45175,-864
669,781,32932,16
670,695,50146,633
671,316,12819,136
672,667,41265,980
673,698,68270,61
674,223,63908,156
675,135,29515,166
676,139,41226,-734
677,329,88513,-655
678,96,81994,225
679,437,20091,290
680,138,79589,94
681,645,85649,760
682,557,11470,-868
683,119,18008,354
684,995,32859,-103
685,336,29318,-235
686,687,53344,-430
687,415,37455,375
688,838,28305,-12
689,153,72703,361
690,331,39440,868
691,709,19121,-984
692,664,89961,-747
693,969,71455,977
694,965,42511,-212
695,752,35140,-214
696,171,72019,-950
697,167,68628,-502
698,43,42227,108
699,124,86319,779
700,762,30413,-787
701,283,84744,658
702,234,89676,922
703,974,64648,965
704,536,48415,-782
705,198,12017,-867
706,537,23851,-939
707,784,39307,-930
708,105,84716,-581
709,380,81085,-739
710,583,14421,910
711,642,45464,-884
712,251,84476,532
713,401,30642,827
714,751,12919,-313
715,99,80138,-566
716,60,76204,-876
717,310,84003,483
718,601,78871,-723
719,396,30369,-454
720,121,56680,280
721,995,67296,551
722,675,74618,597
723,99,16399,-513
724,279,51316,-781
725,912,48909,66
726,139,41112,-963
727,136,25372,-211
728,867,67732,-877
729,96,30000,-59
730,405,59566,-720
731,474,31718,279
732,784,85408,489
733,270,89936,333
734,492,78031,-130
735,761,53383,-148
736,366,72779,-620
737,262,79595,499
738,773,89867,659
739,328,13134,-342
740,968,41922,-203
741,199,32074,-548
742,757,11792,442
743,274,52386,-912
744,553,44179,-789
745,979,67182,568
746,617,24442,26
747,22,51854,-970
748,544,58249,-489
749,795,58812,-469
750,767,85582,-654
751,266,70006,105
752,340,20797,576
753,610,52573,424
754,586,17246,32
755,486,45262,-844
756,254,43921,102
757,99,48787,54
758,13,44902,-359
759,794,77466,825
760,415,59986,562
761,979,63765,-569
762,257,58961,146
763,405,42870,-948
764,287,41284,533
765,193,65406,874
766,815,74253,-659
767,880,74707,641
768,109,49614,575
769,557,19055,89
770,796,86021,840
771,225,64311,58
772,971,84005,-137
773,788,65883,527
774,803,62187,-431
775,377,54728,-307
776,161,23355,-376
777,631,46915,918
778,63,88101,28
779,650,41079,85
780,338,24187,942
781,526,62801,785
782,147,56898,-636
783,841,13561,-669
784,722,73789,386
785,367,32602,-544
786,186,89101,383
787,748,37021,-320
788,311,57589,761
789,371,50981,-312
790,186,44707,-622
791,765,10816,-41
792,977,15486,804
793,585,23267,-680
794,399,56011,-724
795,852,78440,475
796,902,39156,-256
797,252,51561,957
798,727,51452,-360
799,307,80436,574
800,910,56838,-690
801,188,40554,258
802,871,23007,887
803,542,84052,873
804,930,31390,358
805,978,54686,287
806,696,79320,622
807,985,63857,489
808,997,89914,-88
809,574,14883,-50
810,869,67123,-228
811,253,86737,315
812,330,20906,519
813,762,47865,-873
814,730,84891,95
815,793,27156,-977
816,46,22080,322
817,718,27828,-802
818,27,55132,45
819,922,59421,-949
820,720,63918,-730
821,444,42342,565
822,248,30016,-702
823,725,11686,891
824,360,81128,-592
825,246,36636,994
826,218,32583,905
827,634,49865,-153
828,882,85453,-389
829,609,63292,-758
830,343,66165,-245
831,504,46025,914
832,60,66224,89
833,440,38932,256
834,572,77967,777
835,408,19001,889
836,265,28577,-525
837,194,80136,-654
838,856,89960,-881
839,92,60545,-187
840,127,76442,-892
841,165,42338,-486
842,757,28537,-643
843,45,71043,99
844,380,36368,331
845,145,60470,-479
846,884,70336,-502
847,305,75648,855
848,506,79891,-288
849,513,39953,88
850,424,55815,129
851,669,88760,-330
852,924,51181,826
853,449,32475,-609
854,102,19251,-136
855,485,57402,435
856,2,83439,-705
857,639,85461,-717
858,623,35369,-779
859,913,48910,-789
860,857,49858,388
861,20,25608,-271
862,712,25065,-582
863,279,16396,-770
864,897,30442,-40
865,807,54147,101
866,843,66844,-675
867,279,74179,-364
868,868,29139,441
869,106,78570,965
870,45,16677,-645
871,196,17921,-541
872,531,80482,175
873,789,19192,838
874,898,44070,-398
875,291,53698,722
876,907,49773,-292
877,458,14863,610
878,961,86358,-463
879,11,11966,-867
880,283,77114,70
881,331,31416,-589
882,958,21080,-182
883,881,16590,67
884,504,56915,-520
885,735,12798,-541
886,942,56833,-891
887,930,47647,-95
888,537,33521,-495
889,232,16536,497
890,950,36899,929
891,836,77038,-632
892,56,57851,-708
893,149,27783,-480
894,845,39537,-331
895,552,72182,926
896,616,73933,593
897,151,53254,-982
898,148,28103,668
899,39,53215,-345
900,480,40593,-43
901,477,35910,-575
902,654,60486,-764
903,617,69334,-903
904,23,32274,-889
905,808,59024,916
906,723,56441,-141
907,451,32803,-182
908,856,57366,-18
909,492,21871,-961
910,644,64199,478
911,803,52952,-700
912,500,31583,760
913,260,36606,-483
914,650,20471,0
915,610,28331,-918
916,156,55369,143
917,618,21967,885
918,984,80427,-721
919,13,56948,-476
920,481,63495,-286
921,29,78588,-965
922,169,52209,-257
923,572,74081,-59
924,440,41919,-507
925,232,64992,105
926,865,67758,-462
927,732,54720,-679
928,691,29894,425
929,464,31776,993
930,480,89487,869
931,121,49371,898
932,859,69294,354
933,538,20235,-771
934,113,33984,661
935,25,19581,-967
936,665,34661,96
937,159,38382,233
938,323,47957,-855
939,964,89417,960
940,188,63218,-101
941,992,52879,734
942,719,49270,-157
943,118,19480,373
944,557,50399,-744
945,61,17718,163
946,823,10119,-539
947,946,44216,776
948,450,12979,353
949,570,45341,-346
950,993,88177,-63
951,135,68631,531
952,776,78947,-676
953,677,64279,893
954,389,63129,451
955,203,47245,227
956,946,80889,822
957,459,69452,754
958,776,79769,-357
959,205,37491,66
960,399,58600,-807
961,247,35397,-173
962,791,59759,-32
963,40,77865,-244
964,97,54609,894
965,899,22015,-830
966,983,73435,145
967,703,76554,453
968,45,89108,-966
969,510,24220,184
970,36,51034,700
971,703,61587,-29
972,256,54413,-536
973,478,38318,500
974,641,44532,176
975,341,28159,-8
976,145,59035,145
977,603,88861,535
978,665,40889,-319
979,75,13732,742
980,472,16555,61
981,886,46988,401
982,125,38355,-642
983,121,30707,-53
984,78,88336,-605
985,47,70535,106
986,736,24677,-818
987,565,14287,28
988,863,16157,-216
989,467,12640,950
990,701,17847,-427
991,288,89290,-431
992,155,59674,-49
993,540,52910,-965
994,41,86653,138
995,573,41294,-686
996,697,55066,-49
997,35,55442,-614
998,924,76314,-83
999,346,12787,-447
1000,625,21690,-555
1001,856,47625,52
1002,378,60241,632
1003,335,76400,628
1004,717,45711,-961
1005,862,87722,-377
1006,204,89369,87
1007,573,79693,-257
1008,176,33078,636
1009,317,69769,-260
1010,236,23559,846
1011,138,13488,802
1012,499,73215,-965
1013,597,37854,-796
1014,64,20342,-756
1015,999,47193,-856
1016,669,29888,14
1017,250,87347,945
1018,183,81481,327
1019,626,75543,-58
1020,720,51571,176
1021,300,55908,306
1022,174,19191,-879
1023,961,58078,413
1024,47,31592,8
1025,745,43008,174
1026,661,85163,-394
1027,666,78758,-44
1028,63,75219,880
1029,555,78953,39
1030,499,53833,-950
1031,345,44257,-615
1032,718,59294,-179
1033,948,84816,-127
1034,802,48492,-325
1035,307,50510,703
1036,710,73205,-497
1037,912,56961,856
1038,136,23338,991
1039,402,18888,301
1040,251,45074,911
1041,749,88018,-690
1042,118,50453,-958
1043,131,35964,327
1044,822,27426,-30
1045,88,69951,-192
1046,206,28210,-681
1047,386,34422,-490
1048,154,61168,381
1049,457,80458,-93
1050,875,14129,-755
1051,551,20946,405
1052,102,85056,-892
1053,422,70920,-415
1054,801,40555,-978
1055,226,10868,-736
1056,509,83706,339
1057,981,65029,-517
1058,722,26471,344
1059,447,85314,-453
1060,669,34263,597
1061,650,87140,-546
1062,635,22063,-369
1063,139,87751,190
1064,927,86474,124
1065,508,76125,-870
1066,169,48644,526
1067,529,72402,836
1068,882,44088,-105
1069,810,16054,-118
1070,465,47637,237
1071,40,34463,-966
1072,296,59337,-111
1073,979,76818,950
1074,981,23426,-78
1075,873,32918,206
1076,986,53373,992
1077,520,64780,-184
1078,559,41840,52
1079,715,79548,256
1080,769,44208,610
1081,594,62762,845
1082,993,89609,909
1083,643,83142,249
1084,834,64948,712
1085,66,63560,377
1086,786,56838,-850
1087,399,73291,735
1088,442,73101,-26
1089,645,86829,960
1090,42,77937,-833
1091,55,68502,729
1092,73,87613,-341
1093,806,38427,-236
1094,999,69557,660
1095,233,24857,408
1096,443,77448,472
1097,25,84997,-480
1098,789,76981,53
1099,870,47108,856
1100,604,33574,-31
1101,104,85729,-724
1102,911,10850,-765
1103,917,22749,949
1104,883,85928,-306
1105,133,49706,-714
1106,353,80794,755
1107,925,38088,-739
1108,691,78772,331
1109,716,69280,-620
1110,38,46863,571
1111,560,62909,-693
1112,629,21208,-818
1113,403,78426,-578
1114,350,75358,936
1115,975,74008,-410
1116,82,36106,463
1117,237,54059,-820
1118,239,36551,785
1119,662,29903,805
1120,605,67413,793
1121,784,51684,913
1122,480,54613,-407
1123,165,37947,146
1124,729,25266,-501
1125,211,24334,835
1126,325,17808,418
1127,820,78967,287
1128,476,13477,-166
1129,255,33634,694
1130,970,65283,-204
1131,420,70725,-774
1132,466,52078,-991
1133,937,83676,-929
1134,253,88330,539
1135,280,30447,-17
1136,607,85063,314
1137,380,12640,-156
1138,628,78524,-28
1139,945,46427,-483
1140,559,46841,-818
1141,268,40917,676
1142,10,64345,-49
1143,405,71785,-316
1144,662,87331,488
1145,762,10338,12
1146,34,69248,971
1147,745,84536,347
1148,212,73969,-404
1149,463,72518,-735
1150,966,71339,-499
1151,108,58526,488
1152,507,14838,-248
1153,860,38420,443
1154,231,81463,-593
1155,520,14432,-601
1156,292,59998,-764
1157,408,81205,916
1158,662,42960,-968
1159,517,46224,807
1160,731,76029,-961
1161,912,54756,-95
1162,316,84760,38
1163,700,17084,480
1164,601,41552,730
1165,901,56498,-444
1166,138,26113,429
1167,750,86919,-376
1168,757,24097,234
1169,72,34461,-49
1170,578,66827,-769
1171,78,37946,598
1172,795,82691,49
1173,384,44985,-415
1174,497,35301,-805
1175,561,34608,927
1176,607,64320,502
1177,935,83329,575
1178,679,18833,-123
1179,665,52766,-629
1180,681,45601,-532
1181,244,22095,-278
1182,535,27182,-687
1183,678,29086,-147
1184,884,17268,-217
1185,606,26534,-496
1186,159,86469,-678
1187,948,25405,-12
1188,784,54587,-173
1189,469,29353,300
1190,682,16200,-359
1191,291,42335,630
1192,370,20938,709
1193,320,45561,-747
1194,839,82396,-114
1195,754,62319,997
1196,193,49286,899
1197,107,30384,-754
1198,585,43295,104
1199,857,39239,-542
1200,668,72137,803
1201,235,41746,292
1202,907,77385,-741
1203,104,66540,-613
1204,964,82202,-848
1205,15,33983,-320
1206,548,27454,637
1207,318,22129,-857
1208,52,77284,285
1209,851,45067,603
1210,274,87592,-579
1211,967,79800,-363
1212,889,46096,-260
1213,929,58852,-773
1214,705,79691,251
1215,889,87662,917
1216,73,86678,167
1217,397,52504,-602
1218,831,55797,-941
1219,439,77041,-108
1220,965,56713,637
1221,998,20228,478
1222,673,16550,76
1223,662,33741,-986
1224,918,11360,33
1225,117,25504,-920
1226,808,53847,-445
1227,882,33794,593
1228,605,65388,69
1229,487,15536,-690
1230,982,51684,619
1231,529,14338,148
1232,555,37944,413
1233,853,81862,994
1234,824,32770,-51
1235,104,45381,-780
1236,655,21810,877
1237,891,78592,-998
1238,672,30536,-288
1239,470,32627,450
1240,524,41908,383
1241,162,62025,-446
1242,237,82507,-334
1243,631,38764,-716
1244,973,34851,-100
1245,182,74968,41
1246,993,50127,9
1247,321,68136,617
1248,857,21013,902
1249,378,48896,843
1250,186,78441,976
1251,535,36670,-571
1252,187,24023,110
1253,940,51864,414
1254,942,21843,160
1255,351,20750,726
1256,80,77198,-601
1257,333,11994,479
1258,126,79697,362
1259,822,45331,-888
1260,554,57168,-281
1261,727,75037,729
1262,400,46070,438
1263,91,69226,681
1264,871,53756,746
1265,402,67613,-157
1266,816,78779,-725
1267,119,14629,-832
1268,833,67319,-274
1269,729,17254,-384
1270,576,64327,920
1271,77,51803,382
1272,631,15553,255
1273,515,16369,954
1274,512,18010,-719
1275,261,86940,327
1276,171,75831,203
1277,127,24044,-192
1278,452,36178,-521
1279,97,49565,714
1280,171,60935,-619
1281,790,37025,314
1282,14,60564,-958
1283,980,85220,-904
1284,439,47296,487
1285,161,33751,-675
1286,937,38805,-869
1287,971,70815,-461
1288,175,56188,402
1289,404,20771,-967
1290,857,83654,-433
1291,636,25163,67
1292,211,68293,893
1293,156,50678,-725
1294,342,29120,-320
1295,589,83098,341
1296,753,76206,39
1297,582,35262,751
1298,915,35043,-53
1299,297,66840,83
1300,597,83135,40
1301,561,77358,-878
1302,781,30348,69
1303,69,23413,123
1304,573,75597,654
1305,916,70468,538
1306,256,52379,703
1307,37,60843,-209
1308,706,47931,62
1309,836,81936,-936
1310,648,36992,-100
1311,669,60276,-976
1312,25,65667,968
1313,793,71839,845
1314,759,51895,967
1315,487,22283,-361
1316,937,85262,-614
1317,869,23957,272
1318,914,25201,-951
1319,443,10359,79
1320,104,82031,398
1321,91,39912,-849
1322,329,10223,234
1323,275,89449,-677
1324,313,82718,-927
1325,559,31787,298
1326,196,89821,274
1327,312,68596,695
1328,592,63627,-786
1329,807,79155,432
1330,376,28703,371
1331,243,68249,33
1332,418,71861,628
1333,776,76527,154
1334,548,55283,952
1335,423,29016,-361
1336,350,22940,-486
1337,783,78790,383
1338,208,50535,313
1339,651,24267,228
1340,14,53933,-858
1341,633,14744,112
1342,215,60627,392
1343,332,26081,197
1344,615,83759,502
1345,542,70622,382
1346,36,82394,814
1347,9,66138,565
1348,974,37959,-641
1349,951,83338,-373
1350,892,27649,-509
1351,681,53398,-290
1352,44,42877,520
1353,684,37196,442
1354,688,43539,355
1355,716,19750,152
1356,132,66558,777
1357,173,62570,763
1358,307,57152,471
1359,699,71950,-47
1360,533,62852,-547
1361,562,15573,-66
1362,614,81604,739
1363,591,61774,423
1364,352,83214,-406
1365,444,65972,-254
1366,617,48697,833
1367,114,77990,533
1368,503,83276,904
1369,781,35405,-68
1370,985,58452,533
1371,852,37341,-829
1372,158,47762,-366
1373,113,69670,-284
1374,219,42680,792
1375,43,66422,790
1376,219,60409,-88
1377,391,24890,-622
1378,938,14196,797
1379,479,81615,863
1380,758,41414,866
1381,742,21980,-177
1382,676,26131,212
1383,788,12286,826
1384,314,39020,534
1385,710,52058,-623
1386,491,65697,889
1387,905,79046,454
1388,360,87704,-554
1389,966,40942,-834
1390,18,12540,67
1391,376,60213,-384
1392,920,81780,-604
1393,870,42632,153
1394,237,53402,-123
1395,905,72591,851
1396,282,26526,-79
1397,34,81826,561
1398,115,82062,708
1399,258,20911,-62
1400,676,19769,-976
1401,978,26978,-58
1402,634,77346,-91
1403,667,50727,425
1404,286,19832,455
1405,824,56141,-566
1406,727,75090,886
1407,909,34630,876
1408,620,72569,99
1409,758,16505,295
1410,1000,45871,353
1411,178,64306,-828
1412,842,83746,-372
1413,899,37929,54
1414,374,10075,138
1415,227,69997,-644
1416,788,39660,-973
1417,156,64917,-527
1418,320,48662,-183
1419,911,24664,371
1420,164,15743,996
1421,917,50179,-356
1422,694,19912,768
1423,729,27330,85
1424,151,18149,438
1425,763,39584,-768
